Unique Key,Created Date,Closed Date,Agency,Complaint Type,Descriptor,Location Type,Incident Zip,Borough,Status,Resolution Description
1,11/24/2023 12:00:00 AM,11/16/2023 12:00:00 AM,HPD,Water System,Descriptor for Illegal Parking,Street/Sidewalk,10301,BRONX,Closed,Resolution for complaint 0
2,02/27/2023 12:00:00 AM,11/30/2023 12:00:00 AM,FDNY,Noise - Residential,Descriptor for Graffiti,Residential Building,11201,BROOKLYN,Closed,Resolution for complaint 1
3,01/13/2023 12:00:00 AM,06/26/2023 12:00:00 AM,DSNY,Air Quality,Descriptor for Noise - Residential,Street/Sidewalk,10003,STATEN ISLAND,In Progress,Resolution for complaint 2
4,05/21/2023 12:00:00 AM,11/29/2023 12:00:00 AM,NYPD,Heat/Hot Water,Descriptor for Illegal Parking,School,11201,STATEN ISLAND,In Progress,Resolution for complaint 3
5,05/06/2023 12:00:00 AM,04/12/2023 12:00:00 AM,DSNY,Illegal Parking,Descriptor for Building/Use,Park/Playground,10003,MANHATTAN,Closed,Resolution for complaint 4
6,04/25/2023 12:00:00 AM,02/13/2023 12:00:00 AM,DPR,Building/Use,Descriptor for Street Light Condition,Residential Building,10003,STATEN ISLAND,In Progress,Resolution for complaint 5
7,03/13/2023 12:00:00 AM,,DSNY,Rodent,Descriptor for Rodent,Commercial Building,11372,BROOKLYN,In Progress,Resolution for complaint 6
8,02/22/2023 12:00:00 AM,03/06/2023 12:00:00 AM,NYPD,Street Condition,Descriptor for Water System,School,11201,BROOKLYN,In Progress,Resolution for complaint 7
9,12/13/2023 12:00:00 AM,10/04/2023 12:00:00 AM,DPR,Sanitation Condition,Descriptor for Plumbing,School,11201,BRONX,In Progress,Resolution for complaint 8
10,10/07/2023 12:00:00 AM,,DOT,Sanitation Condition,Descriptor for Traffic Signal Condition,Residential Building,10301,MANHATTAN,Pending,Resolution for complaint 9
11,02/14/2023 12:00:00 AM,,DPR,Plumbing,Descriptor for Heat/Hot Water,School,10451,MANHATTAN,Closed,
12,10/30/2023 12:00:00 AM,09/24/2023 12:00:00 AM,HPD,Graffiti,Descriptor for Street Light Condition,Commercial Building,10003,QUEENS,In Progress,Resolution for complaint 11
13,08/05/2023 12:00:00 AM,11/22/2023 12:00:00 AM,DSNY,Traffic Signal Condition,Descriptor for Blocked Driveway,Residential Building,10003,STATEN ISLAND,In Progress,Resolution for complaint 12
14,01/17/2023 12:00:00 AM,,DSNY,Traffic Signal Condition,Descriptor for Rodent,Park/Playground,11201,BRONX,Closed,Resolution for complaint 13
15,01/16/2023 12:00:00 AM,,NYPD,Illegal Parking,Descriptor for Heat/Hot Water,Park/Playground,11201,MANHATTAN,In Progress,Resolution for complaint 14
16,02/17/2023 12:00:00 AM,10/31/2023 12:00:00 AM,DPR,Traffic Signal Condition,Descriptor for Street Condition,School,11215,BROOKLYN,Pending,Resolution for complaint 15
17,04/22/2023 12:00:00 AM,,HPD,Heat/Hot Water,Descriptor for Noise - Residential,Commercial Building,11372,BROOKLYN,Pending,Resolution for complaint 16
18,04/30/2023 12:00:00 AM,06/05/2023 12:00:00 AM,HPD,Water System,Descriptor for Heat/Hot Water,Street/Sidewalk,10001,BROOKLYN,Pending,Resolution for complaint 17
19,09/16/2023 12:00:00 AM,09/16/2023 12:00:00 AM,FDNY,Building/Use,Descriptor for Plumbing,Residential Building,10002,STATEN ISLAND,Pending,Resolution for complaint 18
20,11/05/2023 12:00:00 AM,,DOB,Blocked Driveway,Descriptor for Water System,Street/Sidewalk,11372,STATEN ISLAND,Pending,Resolution for complaint 19
21,01/14/2023 12:00:00 AM,,DEP,Plumbing,Descriptor for Street Condition,Park/Playground,11215,MANHATTAN,Open,Resolution for complaint 20
22,10/15/2023 12:00:00 AM,11/18/2023 12:00:00 AM,DPR,Street Condition,Descriptor for Water System,School,10002,QUEENS,Pending,Resolution for complaint 21
23,04/12/2023 12:00:00 AM,03/05/2023 12:00:00 AM,HPD,Blocked Driveway,Descriptor for Graffiti,School,10301,BRONX,Pending,Resolution for complaint 22
24,11/29/2023 12:00:00 AM,,DEP,Noise - Residential,Descriptor for Plumbing,School,10301,BROOKLYN,Closed,Resolution for complaint 23
25,12/26/2023 12:00:00 AM,03/05/2023 12:00:00 AM,DPR,Graffiti,Descriptor for Plumbing,Residential Building,10451,BROOKLYN,Pending,Resolution for complaint 24
26,10/07/2023 12:00:00 AM,10/21/2023 12:00:00 AM,DPR,Heat/Hot Water,Descriptor for Blocked Driveway,Commercial Building,11372,BRONX,In Progress,Resolution for complaint 25
